nivel,anio_anterior,anio_actual,variables_previas,variables_actuales,agregadas,eliminadas,conservadas,con_cambio_de_nombre,con_cambio_de_glosa,sin_cambios_textuales
2° medio,2014,2015,61,55,8,14,47,0,4,43
2° medio,2015,2016,55,55,8,8,47,0,10,37
2° medio,2016,2017,55,55,8,8,47,0,4,43
2° medio,2017,2018,55,71,16,0,55,0,13,42
2° medio,2018,2022,71,66,10,15,56,0,18,38
2° medio,2022,2023,66,66,0,0,66,0,12,54
2° medio,2023,2024,66,66,0,0,66,1,17,48
2° medio,2024,2025,66,66,0,0,66,0,11,55
4° básico,2014,2015,68,48,1,21,47,0,11,36
4° básico,2015,2016,48,47,0,1,47,0,11,36
4° básico,2016,2017,47,63,17,1,46,0,4,42
4° básico,2017,2018,63,62,30,31,32,0,18,14
4° básico,2018,2022,62,66,33,29,33,0,16,17
4° básico,2022,2023,66,66,0,0,66,0,12,54
4° básico,2023,2024,66,66,0,0,66,0,17,49
4° básico,2024,2025,66,66,0,0,66,0,11,55
